gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,emp,costat
147579,20081231,2008,INDL,C,D,STD,NFLX,USD,3.2700,A
147579,20091231,2009,INDL,C,D,STD,NFLX,USD,4.0800,A
147579,20101231,2010,INDL,C,D,STD,NFLX,USD,4.3290,A
147579,20111231,2011,INDL,C,D,STD,NFLX,USD,2.9270,A
147579,20121231,2012,INDL,C,D,STD,NFLX,USD,2.4290,A
147579,20131231,2013,INDL,C,D,STD,NFLX,USD,2.3270,A
147579,20141231,2014,INDL,C,D,STD,NFLX,USD,2.4500,A
147579,20151231,2015,INDL,C,D,STD,NFLX,USD,3.7000,A
147579,20161231,2016,INDL,C,D,STD,NFLX,USD,4.7000,A
147579,20171231,2017,INDL,C,D,STD,NFLX,USD,5.5000,A
147579,20181231,2018,INDL,C,D,STD,NFLX,USD,7.1000,A
147579,20191231,2019,INDL,C,D,STD,NFLX,USD,8.6000,A
147579,20201231,2020,INDL,C,D,STD,NFLX,USD,9.4000,A
147579,20211231,2021,INDL,C,D,STD,NFLX,USD,11.3000,A
